symbol,entry_date,exit_date,entry_price,exit_price,qty,r_multiple,pnl,exit_reason
SOL,2022-03-21,2022-04-06,112.1727471491352,114.25793056434307,9.858152800677749,0.20556056724558203,20.55605672455821,stop
BTC,2022-07-21,2022-08-05,21635.899083989843,22240.08734718888,0.07675562907545187,0.4608074089918983,46.374850221846806,stop
ETH,2022-07-19,2022-08-16,1346.1969618829285,1552.8364974586339,0.7305181511179484,1.5064426626837155,150.95393147663583,stop
AVAX,2022-07-22,2022-09-07,21.340114367914143,21.655933198442643,45.13396430307064,0.14111057440158212,14.25415582331081,stop
AVAX,2023-01-12,2023-03-08,13.933386824222696,17.429244049099804,48.46404383323721,1.6121494645637258,169.42337778118318,stop
SOL,2023-01-11,2023-03-13,13.157931510640895,20.766359707037424,48.50702900277372,3.5422633137847948,369.0622471881278,stop
BTC,2023-01-05,2023-05-19,17284.945703984165,27877.41154437204,0.09653812029190396,9.993772974177293,1022.5767414872482,stop
ETH,2023-01-05,2023-06-08,1232.201545766326,1825.9196917185839,1.0736265735361379,6.229700154028269,637.4315786849512,stop
BTC,2023-06-22,2023-07-12,29810.75287453889,29969.34381226582,0.07730827066239875,0.09863046554571242,12.260391138396914,stop
SOL,2023-07-21,2023-08-11,21.39480383340353,20.358372862325695,43.80039979071828,-0.3648354902900349,-45.39609088869152,stop
SOL,2023-10-06,2024-01-17,20.974628700617348,91.24845285825286,42.75081336752027,24.195366071691684,3004.2631411850134,stop
AVAX,2023-11-03,2024-01-23,12.60455884649907,37.76540671288123,54.25296639449184,10.138942773207587,1365.0506337517531,stop
BTC,2023-10-05,2024-04-08,27871.483619337745,68568.19004616192,0.06806552770125342,22.343564552596426,2770.0427986447794,stop
AVAX,2024-03-18,2024-04-09,50.389078104357814,50.71022814863965,29.70390503388861,0.04507248778613019,9.539410416976786,stop
ETH,2023-11-20,2024-04-10,1985.7477025688447,3416.830552712324,1.0027573064082316,10.074341804421987,1435.0287840568901,stop
SOL,2024-03-01,2024-04-11,108.22309583252078,152.65126688512407,19.836729805659306,4.518474880296758,881.3096249301057,stop
BTC,2024-05-29,2024-06-10,67216.92041177866,65671.69263553305,0.07269365442972696,-0.511397488312311,-112.3282539816136,stop
ETH,2024-05-23,2024-06-17,3592.7978004453444,3588.9413129561244,0.7162124422486527,-0.012633665223398238,-2.762064323155591,stop
