symbol,entry_date,exit_date,entry_price,exit_price,qty,r_multiple,pnl,exit_reason
SOL,2022-03-14,2022-04-06,107.4280789723817,114.25793056434307,15.205560895671749,0.5192586214498462,103.85172428996928,stop
ETH,2022-03-23,2022-04-07,3074.5712327542215,2957.0437589280923,0.8213684880141897,-0.5696850759854034,-96.53336347669496,stop
BTC,2022-07-29,2022-08-09,22916.3755259932,21900.54145886182,0.1057113176660931,-0.5291060359336516,-107.38515776656483,signal
SOL,2022-07-27,2022-08-10,44.37678364168661,44.24320322828865,28.54160238093697,-0.018981632028584543,-3.8125990450856997,signal
ETH,2022-07-26,2022-08-15,1494.1931029022605,1601.7570698019715,1.1954229749547527,0.642452016979388,128.58443730918705,signal
AVAX,2022-07-29,2022-09-01,22.776105274879157,23.638950484533286,56.77127920430003,0.24135707212658572,48.98482630736734,signal
BTC,2022-10-13,2022-11-01,19658.93241107973,20242.703203225294,0.1281057594707008,0.6249317310923147,74.78440068461985,signal
ETH,2022-10-24,2022-11-02,1478.1688007120265,1503.3989283646163,1.3014247736901323,0.1620439941358147,32.83511317044479,signal
AVAX,2023-01-12,2023-02-24,13.933386824222696,18.389629301214768,97.77631437354431,2.055040712797259,435.71496535511864,signal
SOL,2023-01-13,2023-03-01,14.311701397446123,22.878936678579137,106.97699698831386,4.285318652210365,916.4971028679427,signal
AVAX,2023-04-12,2023-05-02,18.366737627266485,18.446042697283062,137.05553330539385,0.03774311337682696,10.869198664943582,signal
SOL,2023-04-26,2023-05-03,21.477102596171342,21.576429828410767,102.0862633557886,0.03460284489205978,10.13994598879549,signal
BTC,2023-01-05,2023-05-05,17284.945703984165,28982.999692884056,0.14725688983689517,11.036872581545534,1722.6190475494832,signal
ETH,2023-01-05,2023-05-11,1232.201545766326,1877.4032759734243,2.0656745271207484,6.769901417791053,1332.7767789430366,signal
ETH,2023-06-05,2023-07-11,1864.2956921252583,1917.9723846722763,1.9591750496654787,0.4903772138205864,105.1620367866828,signal
BTC,2023-06-15,2023-07-12,29208.03555968969,29969.34381226582,0.12562068016344988,0.35928101804418755,95.63606050266061,stop
AVAX,2023-07-31,2023-08-01,14.724910696644162,14.270647210319417,141.58228984717948,-0.21249323816368815,-64.3156645878203,signal
SOL,2023-07-13,2023-08-08,19.8696768412289,21.816011573619623,101.0992746997781,0.6642923832888485,196.7730297676886,signal
BTC,2023-10-05,2023-11-02,27871.483619337745,34833.675328655365,0.13403647691850823,3.8224267647899,933.1876483481805,signal
AVAX,2023-10-17,2023-11-02,10.257802004358027,12.176623149155208,194.8927177876529,1.1760862540455526,373.96426785793824,signal
SOL,2023-10-05,2024-01-03,20.441929505881344,101.82976853552962,106.2825542780963,28.943325078930528,8650.107419245558,signal
ETH,2023-10-06,2024-02-01,1692.5519376317625,2416.2289779088624,2.221141542611719,6.465047760303615,1607.3891375937608,signal
AVAX,2024-02-12,2024-02-26,40.983676179369816,40.96639104247301,140.34691916384125,-0.004548562520526787,-2.425915710791478,signal
BTC,2024-02-12,2024-04-02,46506.89739882877,71345.40801676233,0.1433488403787721,9.524138763552072,3560.5716938165942,signal
SOL,2024-02-06,2024-04-02,94.55520288931527,172.62047291655517,39.94491004715772,5.881866126205475,3118.310189045176,signal
BTC,2024-05-27,2024-06-07,66291.83105911365,65909.75208492402,0.12651772974670192,-0.10775652637828848,-48.33976439842066,signal
SOL,2024-05-24,2024-06-10,156.64342313541138,156.77964175970584,38.03921841599126,0.00774980470302022,5.181650001862718,signal
ETH,2024-05-20,2024-06-11,3489.8225217176396,3670.6418247794063,1.7974797032736938,0.4897182721440245,325.0190272136206,signal
