,open,high,low,close,volume
2023-01-01,17.5,17.57741143061365,17.220703727276877,17.304781547427606,2169546.4574741223
2023-01-02,17.304781547427606,17.349061450948387,17.227782326763048,17.279780598392943,5908159.032779733
2023-01-03,17.279780598392943,17.55750831749952,17.102900399211435,17.453868890319246,3407515.531173556
2023-01-04,17.453868890319246,17.622777196614468,16.929810622671948,17.132857514749478,5349908.023848713
2023-01-05,17.132857514749478,17.32111233053342,16.49925204716775,16.740701662032773,5445208.101679874
2023-01-06,16.740701662032773,16.82548535235418,15.961897602121928,16.281874632859388,5272764.44076905
2023-01-07,16.281874632859388,16.317240077419687,16.150605869949437,16.241358609742093,3353820.1555046923
2023-01-08,16.241358609742093,16.970881589705932,15.96269019064199,16.732057282434436,5295401.769836412
2023-01-09,16.732057282434436,17.160991935468928,16.631884814584946,17.098228085485072,2489288.112886196
2023-01-10,17.098228085485072,17.188110192533347,17.028774267928295,17.106174198398346,2124239.917043048
2023-01-11,17.106174198398346,17.17700526408206,17.043741155526728,17.10991965362726,2910128.637561461
2023-01-12,17.10991965362726,17.270602985093397,16.951926845459074,17.23595974903523,2688575.1314862343
2023-01-13,17.23595974903523,17.39802182003064,17.002891212849867,17.109144124602608,3607567.6694165757
2023-01-14,17.109144124602608,17.16390598948002,17.048382988361602,17.109628492692938,4688556.533335664
2023-01-15,17.109628492692938,17.242791059143364,16.967122463395846,17.20953084500571,3897386.771431511
2023-01-16,17.20953084500571,17.777438697003458,16.96269431501424,17.69680974123482,2902764.8145364216
2023-01-17,17.69680974123482,17.899397071082483,17.323261436012213,17.410564784395355,4192879.1148368763
2023-01-18,17.410564784395355,17.53111665536885,17.29436971094794,17.344790021829482,2035846.8164998032
2023-01-19,17.344790021829482,18.29701532503771,17.07000912974994,17.940167479135624,5256202.848603952
2023-01-20,17.940167479135624,18.192817177520567,17.809371992930558,18.07304097496606,4252856.054682609
2023-01-21,18.07304097496606,18.133379970823402,17.844019953893685,17.904209318180587,5955371.087499413
2023-01-22,17.904209318180587,17.981689109046403,17.3864438398122,17.469680959155355,2294737.5045973603
2023-01-23,17.469680959155355,17.990096270369712,17.374411302283118,17.78837691360637,5558920.337582901
2023-01-24,17.78837691360637,17.82775477386745,17.54994849552,17.670446293800076,4758705.626025383
2023-01-25,17.670446293800076,17.771683799334895,17.294658706687052,17.41935788843835,1796816.2029892728
2023-01-26,17.41935788843835,17.48135995232596,17.352889619103486,17.450062195895725,2355763.6858482696
2023-01-27,17.450062195895725,17.870017065293283,17.235942519594126,17.801753172675383,7769396.35501469
2023-01-28,17.801753172675383,17.857410112777384,17.580636355417642,17.64185410725793,4941606.7136414945
2023-01-29,17.64185410725793,17.89510079012679,17.094385413776823,17.331035835675042,5010934.332615408
2023-01-30,17.331035835675042,17.45614025981973,17.13541344665367,17.18364339034363,4490022.477542904
2023-01-31,17.18364339034363,17.26305092982784,17.10953085436458,17.220324698099333,2859386.592326232
2023-02-01,17.220324698099333,17.290495732306386,16.86725834025426,17.01391908278667,2656397.442261161
2023-02-02,17.01391908278667,17.1197093737863,16.662321525815226,16.773910455782715,4054733.493078781
2023-02-03,16.773910455782715,17.08740359515379,16.738832051011915,16.91982209854288,3398082.216895583
2023-02-04,16.91982209854288,17.604876299484378,16.75493986496084,17.371179351077533,4793940.8243449805
2023-02-05,17.371179351077533,18.262348392722746,17.28226383934624,17.87991892082554,7168029.619436576
2023-02-06,17.87991892082554,18.106059158189705,17.29809920738362,17.51058648817206,4310715.630731274
2023-02-07,17.51058648817206,17.622280491775587,17.350079288101053,17.463426221033448,2793564.1754162656
2023-02-08,17.463426221033448,17.713702872578754,17.386675299473428,17.663364683920403,2186933.2588506523
2023-02-09,17.663364683920403,17.72970545485786,17.473309475060955,17.51809856131655,2364555.314916994
2023-02-10,17.51809856131655,17.99989217803496,17.372470470320074,17.763419619575867,3030547.579094658
